step,epoch,loss,reg,pred,probe,cov_loss,std_loss,sim_loss_t,idm_loss
0,0,10.411200523376465,9.02517318725586,1.345768928527832,0.04025840014219284,0.17266297340393066,0.3552058935165405,0.14357981085777283,0.2376171052455902
1,0,10.4340181350708,9.05577564239502,1.3364967107772827,0.04174600541591644,0.17859703302383423,0.3497638702392578,0.14992506802082062,0.23167696595191956
2,0,10.104582786560059,8.710063934326172,1.3526842594146729,0.04183487221598625,0.19462400674819946,0.3357117176055908,0.12942272424697876,0.22861239314079285
3,0,10.232084274291992,8.872615814208984,1.3182024955749512,0.041265010833740234,0.18505120277404785,0.3442005515098572,0.1388656347990036,0.21860957145690918
4,0,10.465991973876953,9.077669143676758,1.346527099609375,0.041795674711465836,0.17327219247817993,0.35466307401657104,0.14869841933250427,0.23250076174736023
5,0,10.12350845336914,8.767790794372559,1.3152116537094116,0.040505941957235336,0.18842720985412598,0.34115469455718994,0.13062570989131927,0.23438942432403564
6,0,10.313034057617188,8.844146728515625,1.429203748703003,0.039683111011981964,0.16923099756240845,0.3584914803504944,0.1268003284931183,0.23283056914806366
7,0,9.907193183898926,8.579848289489746,1.2882792949676514,0.0390651598572731,0.205322265625,0.32688432931900024,0.12215271592140198,0.24128828942775726
8,0,10.74686336517334,9.44991397857666,1.2590436935424805,0.03790579363703728,0.14301544427871704,0.38506758213043213,0.15822136402130127,0.24605275690555573
9,0,10.496515274047852,9.063680648803711,1.3940026760101318,0.038832031190395355,0.16802793741226196,0.35961681604385376,0.1441868245601654,0.23534560203552246
10,0,10.444729804992676,9.130434036254883,1.2763490676879883,0.037946268916130066,0.15277868509292603,0.37464410066604614,0.13965079188346863,0.238089457154274
11,0,10.487812995910645,9.166433334350586,1.2808315753936768,0.04054829850792885,0.16031265258789062,0.36715811491012573,0.1488751471042633,0.2229008674621582
12,0,10.33839225769043,9.009135246276855,1.2878713607788086,0.04138560593128204,0.17592453956604004,0.3523155748844147,0.14465025067329407,0.22888687252998352
13,0,10.166163444519043,8.993584632873535,1.1325958967208862,0.039982762187719345,0.18337464332580566,0.34543439745903015,0.14755332469940186,0.2289969027042389
14,0,9.907135009765625,8.71950626373291,1.1473088264465332,0.040319789201021194,0.2044382095336914,0.3275275230407715,0.13509130477905273,0.2224641740322113
15,0,9.98640251159668,8.744776725769043,1.2029972076416016,0.038628995418548584,0.21835541725158691,0.31620070338249207,0.14329341053962708,0.21920111775398254
16,0,9.618559837341309,8.467045783996582,1.1134620904922485,0.03805184364318848,0.23273086547851562,0.3053641617298126,0.12499380111694336,0.21944697201251984
17,0,9.99781608581543,8.863097190856934,1.096644401550293,0.038074757903814316,0.1976514458656311,0.3331979215145111,0.1432228833436966,0.23204389214515686
18,0,9.773523330688477,8.74949836730957,0.9844449162483215,0.039580583572387695,0.23675256967544556,0.3023974299430847,0.14941498637199402,0.2241392582654953
19,0,9.953239440917969,8.94701099395752,0.9698823690414429,0.03634679690003395,0.2310848832130432,0.3065074384212494,0.16444653272628784,0.22085487842559814
20,0,9.847065925598145,8.89133071899414,0.9180378317832947,0.037698157131671906,0.22525405883789062,0.31098708510398865,0.15618368983268738,0.2393006533384323
21,0,9.573942184448242,8.600211143493652,0.9375057816505432,0.03622528165578842,0.2478075623512268,0.2944425940513611,0.13865773379802704,0.24277612566947937
22,0,9.696420669555664,8.877885818481445,0.7851325273513794,0.03340284526348114,0.2280435562133789,0.3089633285999298,0.15670348703861237,0.22968187928199768
23,0,9.363722801208496,8.757204055786133,0.5741914510726929,0.032327424734830856,0.2062082290649414,0.3261578679084778,0.1367892175912857,0.24754109978675842
24,0,9.572480201721191,9.081599235534668,0.46010613441467285,0.030774658545851707,0.15836358070373535,0.3692128360271454,0.13938134908676147,0.23470917344093323
25,0,9.022320747375488,8.425376892089844,0.5675523281097412,0.029391121119260788,0.1974344253540039,0.33337026834487915,0.10736410319805145,0.22360849380493164
26,0,8.908665657043457,8.331364631652832,0.5505057573318481,0.026795851066708565,0.20665192604064941,0.32564589381217957,0.10386984050273895,0.22137749195098877
27,0,9.11815071105957,8.604952812194824,0.48776382207870483,0.0254342220723629,0.19462400674819946,0.33565667271614075,0.12079325318336487,0.2279348224401474
28,0,9.527960777282715,9.124663352966309,0.38021373748779297,0.023083923384547234,0.11833196878433228,0.41322439908981323,0.11227557808160782,0.21911031007766724
29,0,8.736254692077637,8.333564758300781,0.38188111782073975,0.020809311419725418,0.19440865516662598,0.33586978912353516,0.09772054851055145,0.23173193633556366
30,0,8.95560073852539,8.575644493103027,0.36100953817367554,0.018946519121527672,0.14785677194595337,0.3798399865627289,0.08910849690437317,0.24604880809783936
31,0,9.383975982666016,9.02008056640625,0.3470118045806885,0.016884298995137215,0.129150390625,0.400342732667923,0.11166086792945862,0.24146388471126556
32,0,9.155816078186035,8.869786262512207,0.2707003653049469,0.015328988432884216,0.12601113319396973,0.40418097376823425,0.09717176854610443,0.22874100506305695
33,0,9.198441505432129,8.753338813781738,0.4320947825908661,0.013008455745875835,0.15125566720962524,0.3762398660182953,0.10752357542514801,0.23317274451255798
34,0,9.113719940185547,8.773686408996582,0.3287707567214966,0.011262917891144753,0.1474815011024475,0.38021764159202576,0.10609361529350281,0.2372279316186905
35,0,8.87247085571289,8.541072845458984,0.3214071989059448,0.009990723803639412,0.16148781776428223,0.36607494950294495,0.09589647501707077,0.24121376872062683
36,0,9.12566089630127,8.732112884521484,0.385201096534729,0.00834648497402668,0.15049701929092407,0.37698185443878174,0.10687582194805145,0.2139171063899994
